review,rating,date
kumpulan driver sampah,1,2023-08-23
makin lama gojek makin ngga jelas susah bgt dapet driver buat gofood ongkirnya juga mahal bgt mohon diperbaiki,1,2022-05-08
gojek akhir2 ini ngeselin driverny suka cancel seenakny,3,2022-01-13
banyak maling dari driver gosend kurir sialan cuma nitip paket hp seharga 17 juta aja dibawa kabur udah komplain ke cs dijawab gak tau siapa identitas kurir aneh banget lu punya platform dan ini udh 2 hari belum ada respon lagi balikin duit gua dan lebih selektif utk menerima calon driver jangan calon maling diterima,1,2022-01-20
driver untuk area malang tolong di tambah musih hujan  pesen berkali2 tidak dapat driver terus bikin kezell,5,2022-01-24
gojek sekarang sepi driver,1,2021-11-11
dikurangin lagi potongan untuk driver sama restonya yaa kasian pembeli,2,2022-06-19
biaya aplikasi aja di gedein erorr mulu yg nga bisa chat ama driver lah nga bisa mesen layanan lah payah payah,2,2023-04-19
saya sebagai cs dan driver di cs pesen makanan cari drivernya yg gacor2 jd lama pilih2 yg jauh pun jadi itu pun lama di driver sehari order cuma di kasih 1 biji gmna mau nafkahin istri maaf kalo sy beralih dlu,1,2021-11-22
tidak menghargai calon driver nya 4kali bolak balik ke kantor grab batamudah lengkap persyaratan tapi ngak bisa aktiforang ngojek sendiri yang update aplikasi tidak menghargai orang lain,1,2022-08-09
gk bisa pesan gojek akun katnya bermaslah lol sy hanya pengguna bkn driver yg di kasih bintang 1 dan skrng apliksi gk bisa dibuka hnya 1 detik keluar sndiri udh hapus data trus uninstal kmdian instal lagi sama saja mending hapus selama2 nya,1,2022-02-11
payah masa pendaftaran dokumen untuk bisa tarik uang dah setahun gak diproses udah dikomplain katanya 3 hari selesai eh ternyata gak ada kelanjutan diprotes lagi gak ada tanggapan gimana ini makin ngacooooo hari ini ya apps error pesen kurir dari jam set 3 orangnya datang jam 5 anjir lah kasihan bapaknya tau hadeh ngadi ngadi,1,2023-04-12
gojek pokoknya terbaiksaran harus pakai ini guyss jujur ini dari pengalaman ku pakai gojek selama naik grab mobil atau motor yang paling bagus pelayanannya hanya gojek dan saya sudah genap 2 tahun pakai aplikasi ini terimakasih untuk seluruh driver gojek indonesia kalian terbaik,5,2022-01-07
sistemnya menyulitkan driver dapet drivernya jauh terus,1,2022-04-19
nyari restonya digojek trus mesannya pakai ojol lain yg lebih murah kalo daerahku maxim dan ojol lokal lainnya daripada gojek tambahan biayanya banyak banget padahal sdah dapat potongan dari driver resto dan ditambah lgi biaya pemesanan harga makanan dan minumannya jdi naik 50 kalo beli hanya 1 menu jadi mending cari restonya digojek pesannya pakai ojol lain yg lebih murah,2,2022-07-06
pakai promo gocar drivernya pada gk mau ambil tapi disisi drivernya juga gimana untungnya dgn harga segitu gk imbang sama bbmnya makanya daripada mengecewakan keduanya diilangin aja,2,2024-02-01
pertama applikasinya sangat bagus tidak ribet dan sangat mudah penggunaannya kedua driverbikers nya komunikatif sopan dan selalu nengutamakan keselamatan penumpang dan dirinya sendiri ketiga tarifnya tidak mahal dan mampu bersaing dengan disebelahnya,5,2024-01-31
pesan gofood sekarang dapet driver nya lama bangetmohon sistem dirubah seperti dulu cari driver bisa capetpesen mode reguler kok dapet driver 30menitniat pesan biyar capet sampai ini nunggu lama bangetmohon untuk di rubah sistem nya,1,2024-01-31
gojek ngak usah kasih promo sampe discount 5000 kalau kita pesan driver ngak mau ambilaplikasi besar tapi tidak profesional,1,2024-01-23
peta citra garden puri seman tolong diupdate driver sering salah jalan dan membuat tarif lebih tinggi karena mutar2,1,2024-01-28
overall membantu pergerakan saya lewat goride atau gocar hanya saja driver pasti tidak mau ambil kalo pilih yang pake gocar atau goride hemat padahal dengan tambahan voucher jadi meringankan sekali bagi saya yang sering juga mengandalkan gosend untuk bisnis jadi percuma sebaiknya one system aja gak usah pilih pilh kayak gitu customer udah seneng tapi driver ndak ada yang mau ambil,4,2024-01-27
di aplikasi ada pilihan gocar hemat tapi percuma udah dapet driver di cancle terus sampe 6 kali ga efektif gocar hemat di apk,3,2024-01-28
dapat driver melebihi waktu yang ditentukan terlalu lama,1,2024-01-27
buruk sekali bagi saya menggunakan ini aplikasi sumpah sampah bgt  pesanan ga nyampe drivernya jga ga ada  kepotong saldo pula  jangan download gojek mending grab apa maxim jelas ini parah uang hilang an71ngg gojek a55uuu,1,2024-01-27
sikap driver sabar dalam akurasi pengiriman alamat pelanggan go food,5,2024-01-28
setiap pembelian melalui gofood selalu lama kendala makan sudah disiapka tp driver sampai 1jam gak dpt2 pesanan tdk bs dibatalkan karena alasan pesanan sdh masuk resto jd harus menunggu yg batalkan dari pihak anda sangat2 mengecewakan ajng bngt,1,2024-01-28
driver gocarnya gblk,1,2024-01-23
masa titik jemput gocar selalu ngaco padahal sdh sesuai titik sampai saya sudah share lokasi masa bisa jemput ny sampai jauh banget dari titik  tol diperbaiki bikin driver dan saya susah saja maaf saya ksh bintang 1,1,2024-01-28
maps digojek eror gajelas kasihan bapak drivernya,1,2024-01-23
susah banget dapet driver kalo gosend pake samday tolong hapus aja opsi pengiriman samday nya driver pada males ngambil orderan,1,2024-01-29
tolong yah buat gofood sediain uang receh biar ada kembalinya dan cepetin dapet driver nya soalnya gua nunggu 45 menit apa ga mau mati orang nunggu nya,3,2024-01-29
saat hujan sangat susah mendapatkan driver,3,2024-01-29
pesen gofood udah ga ti driver otomatis tiga kali terus dibatalin sistem padahal udah nunggu hampir sejam gak ada solusi lain apa selain ngerugiin customer,4,2024-01-29
gojek nya ramahdari mulai penjemputan  sampai tempat tujuanpemilihan rute sangat baiksikap drivernya sopanpokoknya,5,2024-01-29
driver gojeknya ga tau haluan lalu lintasga ramahga sabaransuka nerobos malah nyenggol anak smk,1,2024-01-29
